#####################################################################
# Alchemist log file - simulation started at: 2024-02-24T07:59+0000 #
#####################################################################
#
# random = 65.0, scenarioType = 0, nodeSide = 10, variableRate = 5
#
# The columns have the following meaning: 
# time rmsError[product] rmsError[sum] rmsError[mean] rmsError[variance] 
0.0 1.0 0.0 NaN NaN
0.0 1.0 0.0 NaN NaN
1.0061870399086652 0.0 0.0 0.0 0.0
2.022295273030933 0.0 0.0 0.0 0.0
3.0008093759166914 0.0 0.0 0.0 0.0
4.044280667612746 0.0 0.0 0.0 0.0
5.001020383145514 0.0 0.0 0.0 0.0
6.006187039908665 0.0 0.0 0.0 0.0
7.022295273030933 0.0 0.0 0.0 0.0
8.000809375916692 0.0 0.0 0.0 0.0
9.044280667612746 0.0 0.0 0.0 0.0
10.001020383145514 0.0 0.0 0.0 0.0
11.006187039908665 0.0 1.0 0.1 0.10000000000000002
12.022295273030933 0.0 5.0 0.5 0.2777777777777778
13.000809375916692 0.0 8.0 0.8 0.17777777777777784
14.044280667612746 1.0 10.0 1.0 0.0
15.001020383145514 1.0 10.0 1.0 0.0
16.006187039908667 1.0 10.0 1.0 0.0
17.022295273030934 1.0 10.0 1.0 0.0
18.000809375916692 1.0 10.0 1.0 0.0
19.044280667612746 1.0 10.0 1.0 0.0
20.001020383145516 0.0 9.0 0.9 0.10000000000000002
21.006187039908667 0.0 8.0 0.8 0.17777777777777784
22.022295273030934 0.0 8.0 0.8 0.17777777777777784
23.000809375916692 0.0 8.0 0.8 0.17777777777777784
24.044280667612746 0.0 6.0 0.6 0.2666666666666668
25.001020383145516 0.0 5.0 0.5 0.2777777777777778
26.006187039908667 0.0 5.0 0.5 0.2777777777777778
27.022295273030934 0.0 5.0 0.5 0.2777777777777778
28.000809375916692 0.0 5.0 0.5 0.2777777777777778
29.044280667612746 0.0 4.0 0.4 0.26666666666666666
30.001020383145516 0.0 4.0 0.4 0.26666666666666666
31.006187039908667 0.0 2.0 0.2 0.17777777777777784
32.022295273030934 0.0 0.0 0.0 0.0
33.00080937591669 0.0 0.0 0.0 0.0
34.044280667612746 0.0 0.0 0.0 0.0
35.001020383145516 0.0 0.0 0.0 0.0
36.00618703990867 0.0 0.0 0.0 0.0
37.022295273030934 0.0 0.0 0.0 0.0
38.00080937591669 0.0 0.0 0.0 0.0
39.044280667612746 0.0 0.0 0.0 0.0
40.001020383145516 0.0 0.0 0.0 0.0
41.00618703990867 0.0 0.0 0.0 0.0
42.022295273030934 0.0 0.0 0.0 0.0
43.00080937591669 0.0 0.0 0.0 0.0
44.044280667612746 0.0 0.0 0.0 0.0
45.001020383145516 0.0 0.0 0.0 0.0
46.00618703990867 0.0 0.0 0.0 0.0
47.022295273030934 0.0 0.0 0.0 0.0
48.00080937591669 0.0 0.0 0.0 0.0
49.044280667612746 0.0 0.0 0.0 0.0
50.001020383145516 0.0 0.0 0.0 0.0
51.00618703990867 0.0 0.0 0.0 0.0
52.022295273030934 0.0 0.0 0.0 0.0
53.00080937591669 0.0 0.0 0.0 0.0
54.044280667612746 0.0 0.0 0.0 0.0
