#####################################################################
# Alchemist log file - simulation started at: 2024-02-21T22:22+0000 #
#####################################################################
#
# random = 23.0, scenarioType = 1, nodeSide = 10
#
# The columns have the following meaning: 
# time requiredInterventionTime[min] requiredInterventionTime[max] requiredInterventionTime[mean] requiredInterventionTime[variance] needsIntervention[sum] needsIntervention[variance] messagesCount[sum] messagesCount[mean] saved[sum] 
0.0 NaN NaN NaN NaN 0.0 NaN 0.0 NaN 0.0
0.0 NaN NaN NaN NaN 0.0 NaN 0.0 NaN 0.0
10.000832948902733 NaN NaN NaN NaN 0.0 0.0 865.0 8.65 0.0
20.00083294890277 NaN NaN NaN NaN 0.0 0.0 865.0 8.65 0.0
30.00083294890291 NaN NaN NaN NaN 0.0 0.0 865.0 8.65 0.0
40.00083294890305 NaN NaN NaN NaN 0.0 0.0 865.0 8.65 0.0
50.000832948903195 NaN NaN NaN NaN 0.0 0.0 865.0 8.65 0.0
60.00083294890334 NaN NaN NaN NaN 0.0 0.0 865.0 8.65 0.0
70.00083294890305 NaN NaN NaN NaN 0.0 0.0 865.0 8.65 0.0
80.00083294890248 NaN NaN NaN NaN 0.0 0.0 865.0 8.65 0.0
90.00083294890192 NaN NaN NaN NaN 0.0 0.0 865.0 8.65 0.0
100.00083294890135 NaN NaN NaN NaN 0.0 0.0 865.0 8.65 0.0
110.00083294890078 NaN NaN NaN NaN 0.0 0.0 865.0 8.65 0.0
120.00083294890021 NaN NaN NaN NaN 0.0 0.0 865.0 8.65 0.0
130.00083294889964 NaN NaN NaN NaN 0.0 0.0 865.0 8.65 0.0
140.00083294889907 NaN NaN NaN NaN 0.0 0.0 865.0 8.65 0.0
150.0008329488985 NaN NaN NaN NaN 0.0 0.0 865.0 8.65 0.0
160.00083294889794 NaN NaN NaN NaN 0.0 0.0 865.0 8.65 0.0
170.00083294889737 NaN NaN NaN NaN 1.0 0.010101010101010123 865.0 8.65 0.0
180.0008329488968 NaN NaN NaN NaN 1.0 0.010101010101010123 865.0 8.65 0.0
190.00083294889623 NaN NaN NaN NaN 1.0 0.010101010101010123 865.0 8.65 0.0
200.00083294889566 NaN NaN NaN NaN 1.0 0.010101010101010123 865.0 8.65 0.0
210.0008329488951 NaN NaN NaN NaN 1.0 0.010101010101010123 865.0 8.65 0.0
220.00083294889453 NaN NaN NaN NaN 1.0 0.010101010101010123 865.0 8.65 0.0
230.00083294889396 NaN NaN NaN NaN 2.0 0.01999587713873422 865.0 8.65 0.0
240.0008329488934 NaN NaN NaN NaN 2.0 0.01999587713873422 867.0 8.67 0.0
250.00083294889282 NaN NaN NaN NaN 2.0 0.01999587713873422 867.0 8.67 0.0
260.0008329488934 NaN NaN NaN NaN 4.0 0.039167182024324905 865.0 8.65 0.0
270.00083294889566 NaN NaN NaN NaN 4.0 0.039167182024324905 865.0 8.65 0.0
280.00083294889794 107.60592475570482 107.60592475570482 107.60592475570482 0.0 3.0 0.029684601113172514 867.0 8.67 1.0
290.0008329489002 107.60592475570482 107.60592475570482 107.60592475570482 0.0 3.0 0.029684601113172514 867.0 8.67 1.0
300.0008329489025 107.60592475570482 107.60592475570482 107.60592475570482 0.0 3.0 0.029684601113172514 867.0 8.67 1.0
310.00083294890476 107.60592475570482 107.60592475570482 107.60592475570482 0.0 3.0 0.029684601113172514 867.0 8.67 1.0
320.00083294890703 107.60592475570482 107.60592475570482 107.60592475570482 0.0 3.0 0.029684601113172514 865.0 8.65 1.0
330.0008329489093 103.80675820417409 107.60592475570482 105.70634147993945 7.216833243134956 2.0 0.019995877138734255 863.0 8.629999999999999 2.0
340.0008329489116 103.80675820417409 107.60592475570482 105.70634147993945 7.216833243134956 2.0 0.019995877138734255 861.0 8.61 2.0
350.00083294891385 103.80675820417409 107.60592475570482 105.70634147993945 7.216833243134956 2.0 0.019995877138734255 863.0 8.629999999999999 2.0
360.0008329489161 95.72787853759183 107.60592475570482 102.38018716582359 36.79832418550238 1.0 0.010101010101010116 865.0 8.65 3.0
370.0008329489184 95.72787853759183 107.60592475570482 102.38018716582359 36.79832418550238 1.0 0.010101010101010116 865.0 8.65 3.0
380.0008329489207 95.72787853759183 107.60592475570482 102.38018716582359 36.79832418550238 1.0 0.010101010101010116 865.0 8.65 3.0
390.00083294892295 95.72787853759183 107.60592475570482 102.38018716582359 36.79832418550238 1.0 0.010101010101010116 865.0 8.65 3.0
400.0008329489252 95.72787853759183 107.60592475570482 102.38018716582359 36.79832418550238 1.0 0.010101010101010116 865.0 8.65 3.0
410.0008329489275 95.72787853759183 107.60592475570482 102.38018716582359 36.79832418550238 1.0 0.010101010101010116 865.0 8.65 3.0
420.00083294892977 95.72787853759183 107.60592475570482 102.38018716582359 36.79832418550238 1.0 0.010101010101010116 865.0 8.65 3.0
430.00083294893204 95.72787853759183 107.60592475570482 102.38018716582359 36.79832418550238 1.0 0.010101010101010116 865.0 8.65 3.0
440.0008329489343 95.72787853759183 107.60592475570482 102.38018716582359 36.79832418550238 1.0 0.010101010101010116 865.0 8.65 3.0
450.0008329489366 95.72787853759183 107.60592475570482 102.38018716582359 36.79832418550238 1.0 0.010101010101010116 865.0 8.65 3.0
460.00083294893886 95.72787853759183 107.60592475570482 102.38018716582359 36.79832418550238 1.0 0.010101010101010116 865.0 8.65 3.0
470.00083294894114 95.72787853759183 107.60592475570482 102.38018716582359 36.79832418550238 1.0 0.010101010101010116 865.0 8.65 3.0
480.0008329489434 95.72787853759183 215.39330547506052 130.63346674313283 3217.523443618064 0.0 0.0 869.0 8.690000000000001 4.0
490.0008329489457 95.72787853759183 215.39330547506052 130.63346674313283 3217.523443618064 1.0 0.010101010101010124 867.0 8.67 4.0
500.00083294894796 95.72787853759183 215.39330547506052 130.63346674313283 3217.523443618064 1.0 0.010101010101010124 867.0 8.67 4.0
510.00083294895023 95.72787853759183 215.39330547506052 130.63346674313283 3217.523443618064 1.0 0.010101010101010124 867.0 8.67 4.0
520.0008329489525 95.72787853759183 215.39330547506052 130.63346674313283 3217.523443618064 1.0 0.010101010101010124 867.0 8.67 4.0
530.0008329489548 95.72787853759183 215.39330547506052 130.63346674313283 3217.523443618064 1.0 0.010101010101010124 865.0 8.65 4.0
540.000832948957 95.72787853759183 215.39330547506052 130.63346674313283 3217.523443618064 1.0 0.010101010101010124 867.0 8.67 4.0
550.0008329489593 95.72787853759183 215.39330547506052 130.63346674313283 3217.523443618064 1.0 0.010101010101010124 867.0 8.67 4.0
560.0008329489616 95.72787853759183 215.39330547506052 130.63346674313283 3217.523443618064 1.0 0.010101010101010124 867.0 8.67 4.0
570.0008329489639 95.72787853759183 215.39330547506052 130.63346674313283 3217.523443618064 1.0 0.010101010101010124 867.0 8.67 4.0
580.0008329489661 95.72787853759183 215.39330547506052 130.63346674313283 3217.523443618064 2.0 0.019995877138734245 867.0 8.67 4.0
590.0008329489684 95.72787853759183 215.39330547506052 130.63346674313283 3217.523443618064 2.0 0.019995877138734245 867.0 8.67 4.0
600.0008329489707 95.72787853759183 215.39330547506052 130.63346674313283 3217.523443618064 2.0 0.019995877138734245 865.0 8.65 4.0
610.000832948973 95.72787853759183 215.39330547506052 130.63346674313283 3217.523443618064 2.0 0.019995877138734245 865.0 8.65 4.0
620.0008329489752 95.72787853759183 215.39330547506052 130.63346674313283 3217.523443618064 2.0 0.019995877138734245 865.0 8.65 4.0
630.0008329489775 95.72787853759183 215.39330547506052 130.63346674313283 3217.523443618064 2.0 0.019995877138734245 867.0 8.67 4.0
640.0008329489798 95.72787853759183 215.39330547506052 130.63346674313283 3217.523443618064 2.0 0.019995877138734245 865.0 8.65 4.0
650.0008329489821 95.72787853759183 215.39330547506052 137.6612098073861 2660.0884455993473 1.0 0.010101010101010114 865.0 8.65 5.0
660.0008329489843 95.72787853759183 215.39330547506052 137.6612098073861 2660.0884455993473 1.0 0.010101010101010114 865.0 8.65 5.0
670.0008329489866 95.72787853759183 215.39330547506052 137.6612098073861 2660.0884455993473 1.0 0.010101010101010114 863.0 8.629999999999999 5.0
680.0008329489889 95.72787853759183 215.39330547506052 137.6612098073861 2660.0884455993473 2.0 0.01999587713873424 861.0 8.61 5.0
690.0008329489912 95.72787853759183 215.39330547506052 137.6612098073861 2660.0884455993473 2.0 0.01999587713873424 861.0 8.61 5.0
700.0008329489934 95.72787853759183 215.39330547506052 137.6612098073861 2660.0884455993473 2.0 0.01999587713873424 863.0 8.629999999999999 5.0
710.0008329489957 95.72787853759183 215.39330547506052 137.6612098073861 2660.0884455993473 2.0 0.01999587713873424 863.0 8.629999999999999 5.0
720.000832948998 95.72787853759183 215.39330547506052 137.6612098073861 2660.0884455993473 2.0 0.01999587713873424 863.0 8.629999999999999 5.0
730.0008329490003 95.72787853759183 215.39330547506052 137.6612098073861 2660.0884455993473 3.0 0.029684601113172497 863.0 8.629999999999999 5.0
740.0008329490025 95.72787853759183 215.39330547506052 137.6612098073861 2660.0884455993473 3.0 0.029684601113172497 863.0 8.629999999999999 5.0
750.0008329490048 95.72787853759183 215.39330547506052 137.6612098073861 2660.0884455993473 3.0 0.029684601113172497 863.0 8.629999999999999 5.0
760.0008329490071 95.72787853759183 215.39330547506052 137.6612098073861 2660.0884455993473 3.0 0.029684601113172497 861.0 8.61 5.0
