#####################################################################
# Alchemist log file - simulation started at: 2024-02-22T15:37+0000 #
#####################################################################
#
# random = 4.0, scenarioType = 0, nodeSide = 10
#
# The columns have the following meaning: 
# time rmsError[product] rmsError[sum] rmsError[mean] rmsError[variance] 
0.0 1.0 0.0 NaN NaN
0.0 1.0 0.0 NaN NaN
1.023199427544602 0.0 0.0 0.0 0.0
2.009638734911147 0.0 0.0 0.0 0.0
3.023199427544602 0.0 0.0 0.0 0.0
4.009638734911147 0.0 0.0 0.0 0.0
5.023199427544602 0.0 0.0 0.0 0.0
6.009638734911147 0.0 0.0 0.0 0.0
7.023199427544602 0.0 0.0 0.0 0.0
8.009638734911146 0.0 0.0 0.0 0.0
9.023199427544602 0.0 0.0 0.0 0.0
10.009638734911146 0.0 0.0 0.0 0.0
11.023199427544602 0.0 0.0 0.0 0.0
12.009638734911146 0.0 0.0 0.0 0.0
13.023199427544602 0.0 6.0 0.6 0.26666666666666666
14.009638734911146 1.0 10.0 1.0 0.0
15.023199427544602 1.0 10.0 1.0 0.0
16.009638734911146 1.0 10.0 1.0 0.0
17.023199427544604 0.0 8.0 0.8 0.17777777777777784
18.009638734911146 0.0 6.0 0.6 0.2666666666666667
19.023199427544604 0.0 2.0 0.20000000000000004 0.17777777777777776
20.009638734911146 0.0 0.0 0.0 0.0
21.023199427544604 0.0 0.0 0.0 0.0
22.009638734911146 0.0 0.0 0.0 0.0
23.023199427544604 0.0 0.0 0.0 0.0
24.009638734911146 0.0 0.0 0.0 0.0
25.023199427544604 0.0 0.0 0.0 0.0
26.009638734911146 0.0 0.0 0.0 0.0
27.023199427544604 0.0 0.0 0.0 0.0
28.009638734911146 0.0 0.0 0.0 0.0
29.023199427544604 0.0 0.0 0.0 0.0
30.009638734911146 0.0 0.0 0.0 0.0
31.023199427544604 0.0 0.0 0.0 0.0
32.00963873491115 0.0 0.0 0.0 0.0
33.023199427544604 0.0 0.0 0.0 0.0
34.00963873491115 0.0 0.0 0.0 0.0
35.023199427544604 0.0 0.0 0.0 0.0
36.00963873491115 0.0 0.0 0.0 0.0
37.023199427544604 0.0 0.0 0.0 0.0
38.00963873491115 0.0 0.0 0.0 0.0
39.023199427544604 0.0 0.0 0.0 0.0
40.00963873491115 0.0 0.0 0.0 0.0
41.023199427544604 0.0 0.0 0.0 0.0
42.00963873491115 0.0 0.0 0.0 0.0
43.023199427544604 0.0 0.0 0.0 0.0
44.00963873491115 0.0 0.0 0.0 0.0
45.023199427544604 0.0 0.0 0.0 0.0
46.00963873491115 0.0 0.0 0.0 0.0
47.023199427544604 0.0 0.0 0.0 0.0
48.00963873491115 0.0 0.0 0.0 0.0
49.023199427544604 0.0 0.0 0.0 0.0
50.00963873491115 0.0 0.0 0.0 0.0
51.023199427544604 0.0 0.0 0.0 0.0
52.00963873491115 0.0 0.0 0.0 0.0
53.023199427544604 0.0 0.0 0.0 0.0
54.00963873491115 0.0 0.0 0.0 0.0
55.023199427544604 0.0 0.0 0.0 0.0
56.00963873491115 0.0 0.0 0.0 0.0
57.023199427544604 0.0 0.0 0.0 0.0
58.00963873491115 0.0 0.0 0.0 0.0
59.023199427544604 0.0 0.0 0.0 0.0
60.00963873491115 0.0 0.0 0.0 0.0
61.023199427544604 0.0 0.0 0.0 0.0
62.00963873491115 0.0 2.0 0.2 0.17777777777777784
63.023199427544604 0.0 7.0 0.7000000000000001 0.23333333333333334
64.00963873491115 0.0 9.0 0.9 0.1
65.0231994275446 0.0 8.0 0.8 0.1777777777777778
66.00963873491115 0.0 8.0 0.8 0.1777777777777778
67.0231994275446 0.0 7.0 0.7 0.23333333333333334
68.00963873491115 0.0 6.0 0.6 0.26666666666666666
69.0231994275446 0.0 6.0 0.6 0.26666666666666666
70.00963873491115 0.0 6.0 0.6 0.26666666666666666
71.0231994275446 0.0 6.0 0.6 0.26666666666666666
72.00963873491115 0.0 6.0 0.6 0.26666666666666666
73.0231994275446 0.0 6.0 0.6 0.26666666666666666
74.00963873491115 0.0 6.0 0.6 0.26666666666666666
75.0231994275446 0.0 5.0 0.5 0.2777777777777778
76.00963873491115 0.0 5.0 0.5 0.2777777777777778
77.0231994275446 0.0 4.0 0.4 0.2666666666666667
78.00963873491115 0.0 3.0 0.3 0.23333333333333334
79.0231994275446 0.0 3.0 0.3 0.23333333333333334
80.00963873491115 0.0 3.0 0.3 0.23333333333333334
81.0231994275446 0.0 2.0 0.2 0.17777777777777784
82.00963873491115 0.0 0.0 0.0 0.0
83.0231994275446 0.0 0.0 0.0 0.0
84.00963873491115 0.0 0.0 0.0 0.0
85.0231994275446 0.0 0.0 0.0 0.0
86.00963873491115 0.0 0.0 0.0 0.0
87.0231994275446 0.0 0.0 0.0 0.0
88.00963873491115 0.0 0.0 0.0 0.0
89.0231994275446 0.0 0.0 0.0 0.0
90.00963873491115 0.0 0.0 0.0 0.0
91.0231994275446 0.0 0.0 0.0 0.0
92.00963873491115 0.0 0.0 0.0 0.0
93.0231994275446 0.0 0.0 0.0 0.0
94.00963873491115 0.0 0.0 0.0 0.0
95.0231994275446 0.0 0.0 0.0 0.0
96.00963873491115 0.0 0.0 0.0 0.0
97.0231994275446 0.0 0.0 0.0 0.0
98.00963873491115 0.0 0.0 0.0 0.0
99.0231994275446 0.0 0.0 0.0 0.0
100.00963873491115 0.0 0.0 0.0 0.0
#####################################################################
# End of data export. Simulation finished at: 2024-02-22T15:37+0000 #
#####################################################################
