#####################################################################
# Alchemist log file - simulation started at: 2024-03-07T09:12+0000 #
#####################################################################
#
# random = 76.0, scenarioType = 0, nodeSide = 10, variableRate = 5
#
# The columns have the following meaning: 
# time rmsError[product] rmsError[sum] rmsError[mean] rmsError[variance] 
0.0 1.0 0.0 NaN NaN
0.0 1.0 0.0 NaN NaN
1.0093942013252177 0.0 0.0 0.0 0.0
2.0127530152343653 0.0 0.0 0.0 0.0
3.0134241269545563 0.0 0.0 0.0 0.0
4.014148692913714 0.0 0.0 0.0 0.0
5.039318088859742 0.0 0.0 0.0 0.0
6.009394201325218 0.0 0.0 0.0 0.0
7.012753015234365 0.0 0.0 0.0 0.0
8.013424126954556 0.0 0.0 0.0 0.0
9.014148692913714 0.0 0.0 0.0 0.0
10.039318088859742 0.0 0.0 0.0 0.0
11.009394201325218 0.0 0.0 0.0 0.0
12.012753015234365 0.0 7.0 0.7 0.23333333333333334
13.013424126954556 0.0 9.0 0.9 0.10000000000000002
14.014148692913714 1.0 10.0 1.0 0.0
15.039318088859742 1.0 10.0 1.0 0.0
16.009394201325218 1.0 10.0 1.0 0.0
17.012753015234367 1.0 10.0 1.0 0.0
18.013424126954554 1.0 10.0 1.0 0.0
19.014148692913714 1.0 10.0 1.0 0.0
20.039318088859744 1.0 10.0 1.0 0.0
21.009394201325218 1.0 10.0 1.0 0.0
22.012753015234367 0.0 9.0 0.9 0.1
23.013424126954554 0.0 9.0 0.9 0.1
24.014148692913714 0.0 7.0 0.7 0.23333333333333334
25.039318088859744 0.0 7.0 0.7 0.23333333333333334
26.009394201325218 0.0 7.0 0.7 0.23333333333333334
27.012753015234367 0.0 6.0 0.6 0.26666666666666666
28.013424126954554 0.0 6.0 0.6 0.26666666666666666
29.014148692913714 0.0 6.0 0.6 0.26666666666666666
30.039318088859744 0.0 5.0 0.5 0.2777777777777778
31.009394201325218 0.0 5.0 0.5 0.2777777777777778
32.01275301523437 0.0 3.0 0.3 0.23333333333333334
33.013424126954554 0.0 2.0 0.2 0.17777777777777784
34.014148692913714 0.0 2.0 0.2 0.17777777777777784
35.039318088859744 0.0 1.0 0.10000000000000002 0.10000000000000002
36.00939420132522 0.0 1.0 0.10000000000000002 0.10000000000000002
37.01275301523437 0.0 1.0 0.10000000000000002 0.10000000000000002
38.013424126954554 0.0 1.0 0.10000000000000002 0.10000000000000002
39.014148692913714 0.0 1.0 0.10000000000000002 0.10000000000000002
40.039318088859744 0.0 1.0 0.10000000000000002 0.10000000000000002
41.00939420132522 0.0 1.0 0.10000000000000002 0.10000000000000002
42.01275301523437 0.0 0.0 0.0 0.0
43.013424126954554 0.0 0.0 0.0 0.0
44.014148692913714 0.0 0.0 0.0 0.0
45.039318088859744 0.0 0.0 0.0 0.0
46.00939420132522 0.0 0.0 0.0 0.0
47.01275301523437 0.0 0.0 0.0 0.0
48.013424126954554 0.0 0.0 0.0 0.0
49.014148692913714 0.0 0.0 0.0 0.0
50.039318088859744 0.0 0.0 0.0 0.0
51.00939420132522 0.0 0.0 0.0 0.0
52.01275301523437 0.0 0.0 0.0 0.0
53.013424126954554 0.0 0.0 0.0 0.0
54.014148692913714 0.0 0.0 0.0 0.0
55.039318088859744 0.0 0.0 0.0 0.0
56.00939420132522 0.0 0.0 0.0 0.0
57.01275301523437 0.0 0.0 0.0 0.0
58.013424126954554 0.0 0.0 0.0 0.0
59.014148692913714 0.0 0.0 0.0 0.0
60.039318088859744 0.0 0.0 0.0 0.0
61.00939420132522 0.0 0.0 0.0 0.0
62.01275301523437 0.0 2.0 0.20000000000000004 0.17777777777777778
63.013424126954554 0.0 3.0 0.29999999999999993 0.23333333333333325
64.01414869291372 0.0 4.0 0.4 0.2666666666666668
65.03931808885974 0.0 4.0 0.4 0.2666666666666668
66.00939420132522 0.0 3.0 0.29999999999999993 0.23333333333333325
67.01275301523437 0.0 3.0 0.29999999999999993 0.23333333333333325
68.01342412695456 0.0 3.0 0.29999999999999993 0.23333333333333325
69.01414869291372 0.0 3.0 0.29999999999999993 0.23333333333333325
70.03931808885974 0.0 3.0 0.29999999999999993 0.23333333333333325
71.00939420132522 0.0 3.0 0.29999999999999993 0.23333333333333325
72.01275301523437 0.0 3.0 0.29999999999999993 0.23333333333333325
73.01342412695456 0.0 3.0 0.29999999999999993 0.23333333333333325
74.01414869291372 0.0 3.0 0.29999999999999993 0.23333333333333325
75.03931808885974 0.0 3.0 0.29999999999999993 0.23333333333333325
76.00939420132522 0.0 3.0 0.29999999999999993 0.23333333333333325
77.01275301523437 0.0 3.0 0.29999999999999993 0.23333333333333325
78.01342412695456 0.0 2.0 0.20000000000000004 0.17777777777777778
79.01414869291372 0.0 1.0 0.1 0.10000000000000002
80.03931808885974 0.0 0.0 0.0 0.0
81.00939420132522 0.0 0.0 0.0 0.0
82.01275301523437 0.0 0.0 0.0 0.0
83.01342412695456 0.0 0.0 0.0 0.0
84.01414869291372 0.0 0.0 0.0 0.0
85.03931808885974 0.0 0.0 0.0 0.0
86.00939420132522 0.0 0.0 0.0 0.0
87.01275301523437 0.0 0.0 0.0 0.0
88.01342412695456 0.0 0.0 0.0 0.0
89.01414869291372 0.0 0.0 0.0 0.0
90.03931808885974 0.0 0.0 0.0 0.0
91.00939420132522 0.0 0.0 0.0 0.0
92.01275301523437 0.0 0.0 0.0 0.0
93.01342412695456 0.0 0.0 0.0 0.0
94.01414869291372 0.0 0.0 0.0 0.0
95.03931808885974 0.0 0.0 0.0 0.0
96.00939420132522 0.0 0.0 0.0 0.0
